transaction_id,store_id,store_location,register_id,cashier_id,customer_id,transaction_time,payment_method,product_sku,quantity,unit_price,total_amount,status
TXN-3230584,STR-046,Birmingham,4,1809,158903,2026-04-23T21:41:44,debit_card,SKU-10005,1,35,35,completed
TXN-4885272,STR-045,Denver,1,1747,277548,2026-05-02T18:37:25,credit_card,SKU-10017,2,4.49,8.98,completed
TXN-1768263,STR-046,Birmingham,4,1737,557587,2026-05-09T12:09:21,debit_card,SKU-10005,2,35,70,completed
TXN-7793173,STR-045,Denver,1,1677,219952,2026-04-18T15:10:34,debit_card,SKU-10009,5,3.99,19.95,completed
TXN-3751593,STR-045,Denver,2,1797,219933,2026-04-25T15:19:25,credit_card,SKU-10038,3,74,222,completed
TXN-9769305,STR-046,Birmingham,5,1627,791180,2026-04-14T16:33:45,credit_card,SKU-10039,1,299,299,completed
TXN-8114599,STR-046,Birmingham,5,1294,260629,2026-04-29T02:14:20,credit_card,SKU-10046,5,49,245,completed
TXN-5544541,STR-044,Los Angeles,2,1852,140547,2026-05-12T05:50:14,credit_card,SKU-10001,5,999,4995,completed
TXN-2457716,STR-046,Birmingham,2,1905,211475,2026-05-07T04:46:48,credit_card,SKU-10047,4,24,96,completed
TXN-8437708,STR-046,Birmingham,2,1384,299059,2026-05-07T22:18:32,credit_card,SKU-10012,1,3.49,3.49,completed
TXN-9615862,STR-046,Birmingham,5,1530,640178,2026-05-04T15:16:04,credit_card,SKU-10015,4,3.75,15,completed
TXN-6887828,STR-042,Chicago,2,1323,666501,2026-04-13T19:09:18,cash,SKU-10022,3,2.5,7.5,completed
TXN-4476790,STR-044,Los Angeles,4,1537,314905,2026-04-18T12:04:23,credit_card,SKU-10034,1,599,599,completed
TXN-9205305,STR-045,Denver,3,1668,409186,2026-04-13T08:59:17,debit_card,SKU-10014,2,5.5,11,completed
TXN-9134103,STR-046,Birmingham,1,1272,775809,2026-04-16T03:19:14,debit_card,SKU-10048,1,15,15,completed
TXN-4176829,STR-042,Chicago,1,1296,335404,2026-05-03T08:40:14,debit_card,SKU-10033,3,699,2097,completed
TXN-9920674,STR-045,Denver,2,1918,246596,2026-05-02T07:16:16,credit_card,SKU-10035,5,129,645,completed
TXN-8885826,STR-045,Denver,5,1928,715702,2026-04-26T13:16:24,credit_card,SKU-10008,5,4.25,21.25,completed
TXN-7867526,STR-045,Denver,3,1280,871720,2026-05-05T01:05:43,debit_card,SKU-10032,3,159,477,completed
TXN-8385777,STR-044,Los Angeles,3,1407,219952,2026-05-03T21:06:37,debit_card,SKU-10012,4,3.49,13.96,completed
TXN-8902777,STR-046,Birmingham,6,1119,284399,2026-04-23T13:50:40,credit_card,SKU-10034,1,599,599,completed
TXN-1478050,STR-044,Los Angeles,5,1589,986593,2026-04-13T12:40:23,debit_card,SKU-10040,2,599,1198,completed
TXN-6244777,STR-042,Chicago,2,1427,572527,2026-05-03T12:05:10,debit_card,SKU-10039,4,299,1196,completed
TXN-3060694,STR-043,Buffalo,4,1919,361604,2026-04-15T20:27:58,debit_card,SKU-10014,5,5.5,27.5,completed
TXN-2642127,STR-042,Chicago,4,1241,394455,2026-04-27T00:28:27,credit_card,SKU-10003,2,799,1598,completed
TXN-8442531,STR-046,Birmingham,1,1533,557587,2026-05-11T00:08:43,credit_card,SKU-10050,3,34,102,completed
TXN-3436953,STR-043,Buffalo,4,1938,569391,2026-04-17T13:39:06,credit_card,SKU-10007,4,1.75,7,completed
TXN-4238022,STR-045,Denver,4,1872,752639,2026-04-21T08:22:40,credit_card,SKU-10014,4,5.5,22,completed
TXN-1243670,STR-042,Chicago,5,1461,113549,2026-04-19T21:00:24,credit_card,SKU-10005,4,35,140,completed
TXN-7690654,STR-042,Chicago,1,1607,226037,2026-05-10T13:19:45,debit_card,SKU-10023,3,4,12,completed
TXN-1181550,STR-045,Denver,6,1318,880610,2026-05-08T10:45:05,credit_card,SKU-10022,4,2.5,10,completed
TXN-2008396,STR-043,Buffalo,4,1880,995299,2026-04-17T13:29:06,credit_card,SKU-10007,3,1.75,5.25,completed
TXN-3288704,STR-045,Denver,1,1345,871720,2026-05-09T17:38:34,credit_card,SKU-10004,5,99,495,completed
TXN-2793530,STR-044,Los Angeles,1,1661,322077,2026-04-16T17:40:59,debit_card,SKU-10041,1,24,24,completed
TXN-5624711,STR-046,Birmingham,3,1932,688444,2026-04-24T21:06:04,credit_card,SKU-10036,3,6.99,20.97,completed
TXN-6863992,STR-043,Buffalo,5,1727,445701,2026-04-23T17:54:01,cash,SKU-10002,5,949,4745,completed
TXN-5757864,STR-046,Birmingham,6,1140,608404,2026-05-11T17:41:44,credit_card,SKU-10012,4,3.49,13.96,completed
TXN-9106858,STR-042,Chicago,1,1028,426290,2026-04-23T01:42:36,credit_card,SKU-10022,4,2.5,10,completed
TXN-8487244,STR-045,Denver,2,1779,758376,2026-05-09T10:43:29,debit_card,SKU-10008,2,4.25,8.5,completed
TXN-4558246,STR-046,Birmingham,4,1766,291935,2026-05-03T08:31:23,debit_card,SKU-10013,4,4.25,17,completed
TXN-4907863,STR-045,Denver,5,1295,290977,2026-05-08T04:45:21,debit_card,SKU-10026,1,89,89,completed
TXN-8634937,STR-045,Denver,2,1470,947925,2026-04-22T18:06:44,credit_card,SKU-10004,5,99,495,refunded
TXN-6929452,STR-042,Chicago,6,1510,465119,2026-04-26T14:18:52,credit_card,SKU-10029,3,69,207,completed
TXN-9827829,STR-046,Birmingham,3,1029,422480,2026-04-21T21:33:07,debit_card,SKU-10009,1,3.99,3.99,completed
TXN-3584218,STR-044,Los Angeles,6,1538,567601,2026-05-11T16:51:18,debit_card,SKU-10006,1,2.5,2.5,completed
TXN-2595014,STR-044,Los Angeles,1,1121,830669,2026-05-10T16:44:14,debit_card,SKU-10003,4,799,3196,completed
TXN-1291807,STR-046,Birmingham,2,1761,590527,2026-04-14T00:41:37,debit_card,SKU-10041,3,24,72,completed
TXN-2067446,STR-042,Chicago,3,1463,154148,2026-04-18T10:40:05,credit_card,SKU-10013,3,4.25,12.75,completed
TXN-1411901,STR-043,Buffalo,1,1992,846189,2026-05-05T19:29:56,credit_card,SKU-10043,5,16,80,refunded
TXN-9209684,STR-044,Los Angeles,5,1152,685411,2026-05-07T23:25:58,credit_card,SKU-10012,3,3.49,10.47,completed
TXN-3954305,STR-042,Chicago,4,1098,311893,2026-04-17T15:09:43,debit_card,SKU-10015,5,3.75,18.75,completed
TXN-8940310,STR-046,Birmingham,3,1044,953115,2026-05-08T03:55:34,debit_card,SKU-10004,4,99,396,completed
TXN-3142137,STR-042,Chicago,6,1562,141088,2026-04-15T15:24:32,debit_card,SKU-10001,3,999,2997,completed
TXN-5230160,STR-043,Buffalo,4,1947,581130,2026-04-17T09:11:59,credit_card,SKU-10008,1,4.25,4.25,completed
TXN-9278407,STR-042,Chicago,1,1710,215031,2026-04-16T11:24:11,debit_card,SKU-10037,3,89,267,completed
TXN-7668849,STR-045,Denver,5,1510,187932,2026-04-28T10:17:10,credit_card,SKU-10002,4,949,3796,completed
TXN-2944899,STR-042,Chicago,5,1377,406643,2026-05-01T04:23:24,cash,SKU-10031,1,349,349,refunded
TXN-8691929,STR-045,Denver,5,1008,326438,2026-05-10T05:31:08,credit_card,SKU-10048,1,15,15,completed
TXN-8104720,STR-042,Chicago,6,1519,694224,2026-04-23T14:43:26,credit_card,SKU-10031,3,349,1047,completed
TXN-6076918,STR-045,Denver,5,1896,694243,2026-04-17T17:56:07,credit_card,SKU-10046,4,49,196,completed
TXN-9536621,STR-045,Denver,5,1584,244791,2026-04-28T09:56:10,credit_card,SKU-10027,3,29,87,completed
TXN-3419016,STR-044,Los Angeles,2,1895,347679,2026-05-05T06:37:26,credit_card,SKU-10048,2,15,30,completed
TXN-4403070,STR-042,Chicago,6,1033,180950,2026-04-30T00:08:13,credit_card,SKU-10018,5,2.25,11.25,completed
TXN-2925458,STR-042,Chicago,5,1250,341276,2026-04-23T21:42:45,debit_card,SKU-10041,3,24,72,completed
TXN-2116818,STR-046,Birmingham,3,1344,206793,2026-05-12T10:18:40,cash,SKU-10022,1,2.5,2.5,completed
TXN-7817885,STR-046,Birmingham,6,1002,309690,2026-04-21T04:26:02,credit_card,SKU-10030,2,149,298,completed
TXN-6370180,STR-044,Los Angeles,1,1603,978309,2026-04-17T19:36:27,credit_card,SKU-10026,3,89,267,completed
TXN-5565620,STR-043,Buffalo,1,1850,210540,2026-04-22T23:05:22,debit_card,SKU-10031,2,349,698,completed
TXN-6095385,STR-046,Birmingham,4,1070,122186,2026-04-13T14:55:38,credit_card,SKU-10038,5,74,370,completed
TXN-3644171,STR-045,Denver,1,1464,852272,2026-05-07T21:22:37,debit_card,SKU-10016,4,6.99,27.96,refunded
TXN-6126840,STR-043,Buffalo,1,1690,977983,2026-05-05T13:30:50,cash,SKU-10048,2,15,30,completed
TXN-3048158,STR-042,Chicago,2,1936,812074,2026-04-24T05:56:48,credit_card,SKU-10018,3,2.25,6.75,completed
TXN-2826197,STR-044,Los Angeles,3,1524,806300,2026-04-15T16:36:26,credit_card,SKU-10019,1,8.5,8.5,completed
TXN-3449437,STR-042,Chicago,3,1677,942346,2026-05-04T02:23:19,debit_card,SKU-10027,2,29,58,completed
TXN-9624864,STR-045,Denver,2,1056,149860,2026-04-26T08:06:42,debit_card,SKU-10048,5,15,75,completed
TXN-3687722,STR-046,Birmingham,1,1720,128848,2026-04-25T09:36:45,credit_card,SKU-10041,2,24,48,completed
TXN-6192533,STR-045,Denver,2,1709,322418,2026-05-04T01:46:45,cash,SKU-10042,2,20,40,completed
TXN-7910296,STR-043,Buffalo,6,1207,674892,2026-04-23T23:27:39,debit_card,SKU-10004,4,99,396,completed
TXN-8508277,STR-043,Buffalo,2,1259,582517,2026-04-25T18:52:07,debit_card,SKU-10045,4,5.99,23.96,completed
TXN-4679061,STR-045,Denver,1,1014,384762,2026-04-21T21:20:31,mobile_wallet,SKU-10048,1,15,15,completed
TXN-5875757,STR-046,Birmingham,1,1122,267861,2026-04-30T05:14:54,debit_card,SKU-10026,4,89,356,completed
TXN-1679902,STR-043,Buffalo,6,1873,184290,2026-05-09T12:08:34,credit_card,SKU-10004,5,99,495,completed
TXN-6797936,STR-044,Los Angeles,3,1677,465586,2026-05-07T22:21:52,credit_card,SKU-10050,4,34,136,completed
TXN-7557249,STR-046,Birmingham,5,1220,250951,2026-04-24T14:25:08,cash,SKU-10016,4,6.99,27.96,completed
TXN-4644464,STR-043,Buffalo,3,1734,326160,2026-04-20T04:08:38,debit_card,SKU-10043,4,16,64,completed
TXN-9302128,STR-045,Denver,6,1165,407747,2026-05-11T17:21:36,credit_card,SKU-10037,3,89,267,refunded
TXN-2943852,STR-045,Denver,5,1643,384762,2026-04-18T14:34:53,debit_card,SKU-10025,4,5.5,22,completed
TXN-2831292,STR-045,Denver,4,1896,227404,2026-04-15T11:28:30,credit_card,SKU-10003,5,799,3995,completed
TXN-7060995,STR-045,Denver,3,1619,336116,2026-04-14T06:05:23,debit_card,SKU-10019,2,8.5,17,completed
TXN-6421740,STR-042,Chicago,1,1139,322418,2026-04-28T20:48:47,debit_card,SKU-10033,3,699,2097,completed
TXN-6720758,STR-046,Birmingham,2,1355,226037,2026-04-22T02:11:20,credit_card,SKU-10039,2,299,598,completed
TXN-8300204,STR-042,Chicago,3,1768,336141,2026-05-12T02:41:40,credit_card,SKU-10042,2,20,40,completed
TXN-3525702,STR-043,Buffalo,5,1016,199368,2026-04-21T19:51:05,credit_card,SKU-10041,2,24,48,completed
TXN-7961804,STR-045,Denver,1,1433,868305,2026-04-18T06:18:17,debit_card,SKU-10006,2,2.5,5,completed
TXN-5145231,STR-044,Los Angeles,5,1584,777517,2026-05-05T21:58:04,credit_card,SKU-10015,3,3.75,11.25,completed
TXN-4281540,STR-045,Denver,6,1502,712023,2026-04-26T11:04:15,credit_card,SKU-10015,5,3.75,18.75,completed
TXN-5440149,STR-043,Buffalo,4,1631,309690,2026-04-26T10:07:23,credit_card,SKU-10048,4,15,60,completed
TXN-2238854,STR-046,Birmingham,4,1111,359748,2026-05-04T01:54:28,credit_card,SKU-10014,2,5.5,11,completed
TXN-3070949,STR-044,Los Angeles,1,1981,870734,2026-04-21T02:48:17,debit_card,SKU-10009,5,3.99,19.95,completed
TXN-1270340,STR-044,Los Angeles,6,1313,671944,2026-04-28T05:10:08,credit_card,SKU-10043,5,16,80,completed
TXN-8170398,STR-042,Chicago,6,1467,326438,2026-05-10T05:00:28,debit_card,SKU-10014,1,5.5,5.5,completed
TXN-2230344,STR-042,Chicago,1,1175,115568,2026-05-03T03:41:18,credit_card,SKU-10046,2,49,98,completed
TXN-5668100,STR-046,Birmingham,6,1566,474877,2026-05-04T02:19:06,debit_card,SKU-10045,2,5.99,11.98,completed
TXN-6685794,STR-042,Chicago,1,1646,459097,2026-04-22T18:14:37,credit_card,SKU-10009,4,3.99,15.96,completed
TXN-1873946,STR-042,Chicago,4,1930,236090,2026-04-25T13:04:53,debit_card,SKU-10025,5,5.5,27.5,completed
TXN-6473124,STR-046,Birmingham,6,1200,371291,2026-04-20T21:09:11,cash,SKU-10009,1,3.99,3.99,completed
TXN-6980536,STR-043,Buffalo,1,1062,235778,2026-05-10T05:54:27,credit_card,SKU-10050,1,34,34,completed
TXN-9647392,STR-044,Los Angeles,3,1378,633983,2026-05-10T13:30:10,mobile_wallet,SKU-10003,2,799,1598,voided
TXN-9398536,STR-046,Birmingham,1,1184,265585,2026-04-30T15:08:58,credit_card,SKU-10009,5,3.99,19.95,completed
TXN-1412133,STR-046,Birmingham,6,1458,524502,2026-04-30T10:47:38,credit_card,SKU-10019,2,8.5,17,completed
TXN-3634238,STR-044,Los Angeles,6,1739,596243,2026-05-11T21:36:01,credit_card,SKU-10027,5,29,145,completed
TXN-5102614,STR-045,Denver,4,1770,671623,2026-05-04T16:40:39,debit_card,SKU-10003,1,799,799,completed
TXN-7562295,STR-042,Chicago,4,1585,796619,2026-05-03T00:29:15,cash,SKU-10003,4,799,3196,completed
TXN-6742859,STR-043,Buffalo,4,1545,571630,2026-04-29T12:03:51,credit_card,SKU-10019,3,8.5,25.5,completed
TXN-4726367,STR-042,Chicago,2,1580,613964,2026-05-09T15:11:55,debit_card,SKU-10050,2,34,68,completed
TXN-6936233,STR-042,Chicago,4,1346,852272,2026-05-11T01:13:08,credit_card,SKU-10004,2,99,198,completed
TXN-3120724,STR-042,Chicago,4,1249,407014,2026-05-10T13:19:19,debit_card,SKU-10006,3,2.5,7.5,completed
TXN-2625114,STR-043,Buffalo,2,1539,833263,2026-05-11T13:41:23,debit_card,SKU-10032,3,159,477,completed
TXN-4932333,STR-046,Birmingham,3,1842,833263,2026-04-14T23:45:47,debit_card,SKU-10001,5,999,4995,completed
TXN-2935210,STR-042,Chicago,4,1819,955654,2026-04-18T17:56:47,cash,SKU-10038,2,74,148,completed
TXN-4015582,STR-045,Denver,3,1083,751074,2026-04-30T00:03:15,credit_card,SKU-10014,3,5.5,16.5,completed
TXN-9373864,STR-046,Birmingham,5,1381,581930,2026-05-05T20:19:41,credit_card,SKU-10010,3,7.5,22.5,completed
TXN-6032257,STR-043,Buffalo,2,1567,171940,2026-04-17T05:56:57,credit_card,SKU-10032,1,159,159,completed
TXN-4674610,STR-043,Buffalo,1,1330,115893,2026-05-07T11:00:52,debit_card,SKU-10027,4,29,116,completed
TXN-3871534,STR-046,Birmingham,3,1692,702405,2026-05-05T12:21:00,debit_card,SKU-10048,5,15,75,completed
TXN-2467509,STR-046,Birmingham,5,1443,285749,2026-04-21T13:37:03,debit_card,SKU-10035,3,129,387,completed
TXN-3655571,STR-044,Los Angeles,4,1024,113549,2026-05-03T19:07:54,credit_card,SKU-10035,3,129,387,completed
TXN-7290576,STR-042,Chicago,4,1010,668936,2026-04-27T11:31:28,debit_card,SKU-10037,1,89,89,completed
TXN-1849837,STR-046,Birmingham,5,1680,934713,2026-05-10T01:53:06,debit_card,SKU-10019,4,8.5,34,completed
TXN-4917477,STR-042,Chicago,6,1577,999656,2026-04-29T17:51:43,cash,SKU-10027,3,29,87,completed
TXN-7183760,STR-042,Chicago,2,1289,661548,2026-04-14T22:39:56,credit_card,SKU-10003,4,799,3196,completed
TXN-6080135,STR-046,Birmingham,6,1413,153540,2026-04-30T12:33:58,credit_card,SKU-10007,3,1.75,5.25,completed
TXN-5843258,STR-046,Birmingham,2,1431,167363,2026-05-08T00:42:35,credit_card,SKU-10003,4,799,3196,completed
TXN-9518409,STR-044,Los Angeles,5,1870,244791,2026-04-17T14:44:20,credit_card,SKU-10008,3,4.25,12.75,completed
TXN-8509725,STR-045,Denver,5,1288,651431,2026-05-10T17:12:22,credit_card,SKU-10027,2,29,58,completed
TXN-8352177,STR-045,Denver,1,1848,812937,2026-04-28T08:51:54,debit_card,SKU-10018,1,2.25,2.25,completed
TXN-5159075,STR-044,Los Angeles,3,1553,788098,2026-04-13T23:28:31,credit_card,SKU-10049,4,129,516,completed
TXN-1544895,STR-045,Denver,6,1510,299059,2026-05-05T20:28:51,debit_card,SKU-10010,5,7.5,37.5,completed
TXN-5195732,STR-044,Los Angeles,1,1955,866459,2026-04-29T21:44:57,credit_card,SKU-10035,1,129,129,completed
TXN-7887886,STR-044,Los Angeles,1,1483,842789,2026-04-22T00:20:28,debit_card,SKU-10008,2,4.25,8.5,refunded
TXN-9334405,STR-046,Birmingham,6,1191,376295,2026-04-24T00:38:10,credit_card,SKU-10039,1,299,299,completed
TXN-8509996,STR-044,Los Angeles,3,1676,569391,2026-04-24T15:26:18,credit_card,SKU-10017,5,4.49,22.45,completed
TXN-3600725,STR-044,Los Angeles,1,1734,593929,2026-04-18T21:58:43,credit_card,SKU-10019,2,8.5,17,completed
TXN-2595956,STR-043,Buffalo,6,1246,430611,2026-04-14T08:26:31,credit_card,SKU-10007,4,1.75,7,completed
TXN-1460993,STR-046,Birmingham,4,1134,698940,2026-05-03T02:48:54,cash,SKU-10038,1,74,74,completed
TXN-7246976,STR-044,Los Angeles,6,1189,683996,2026-05-09T05:34:54,credit_card,SKU-10042,1,20,20,completed
TXN-6075345,STR-046,Birmingham,1,1377,947013,2026-04-22T00:18:31,debit_card,SKU-10008,5,4.25,21.25,completed
TXN-4448499,STR-046,Birmingham,3,1948,215107,2026-04-24T01:32:39,mobile_wallet,SKU-10017,4,4.49,17.96,completed
TXN-2188961,STR-045,Denver,6,1188,144858,2026-04-16T21:07:57,credit_card,SKU-10046,1,49,49,completed
TXN-1459067,STR-044,Los Angeles,5,1819,977983,2026-05-11T07:03:24,credit_card,SKU-10001,3,999,2997,completed
TXN-4663608,STR-046,Birmingham,2,1836,160895,2026-05-05T04:34:53,cash,SKU-10010,2,7.5,15,completed
TXN-9036683,STR-046,Birmingham,4,1884,285749,2026-04-21T05:15:54,debit_card,SKU-10016,1,6.99,6.99,completed
TXN-8835848,STR-045,Denver,2,1752,928776,2026-05-12T05:34:07,debit_card,SKU-10039,5,299,1495,completed
TXN-3287414,STR-045,Denver,5,1558,153540,2026-05-03T00:47:31,credit_card,SKU-10047,1,24,24,completed
TXN-9595169,STR-042,Chicago,3,1760,652204,2026-05-03T14:36:23,credit_card,SKU-10007,4,1.75,7,completed
TXN-8512252,STR-046,Birmingham,3,1228,415466,2026-05-11T20:39:30,credit_card,SKU-10002,3,949,2847,completed
TXN-7805124,STR-044,Los Angeles,3,1100,996740,2026-05-05T11:14:48,cash,SKU-10020,1,9.99,9.99,completed
TXN-5907503,STR-043,Buffalo,4,1342,637615,2026-05-07T21:02:50,credit_card,SKU-10042,2,20,40,completed
TXN-8919633,STR-044,Los Angeles,1,1151,593929,2026-04-15T02:15:21,credit_card,SKU-10048,2,15,30,completed
TXN-7733705,STR-044,Los Angeles,3,1304,583672,2026-04-30T07:04:17,debit_card,SKU-10049,1,129,129,completed
TXN-1897244,STR-045,Denver,5,1766,988285,2026-04-17T00:41:58,credit_card,SKU-10025,5,5.5,27.5,completed
TXN-1805687,STR-045,Denver,2,1775,330208,2026-04-19T23:37:04,credit_card,SKU-10014,4,5.5,22,completed
TXN-7979182,STR-046,Birmingham,5,1145,917057,2026-05-12T05:47:46,credit_card,SKU-10022,2,2.5,5,completed
TXN-9975406,STR-045,Denver,6,1667,663103,2026-05-11T00:12:07,credit_card,SKU-10041,5,24,120,completed
TXN-9230222,STR-046,Birmingham,4,1444,235778,2026-05-02T19:19:12,debit_card,SKU-10032,4,159,636,completed
TXN-1408104,STR-042,Chicago,1,1089,524502,2026-05-03T04:58:38,cash,SKU-10011,3,2.99,8.97,completed
TXN-6646843,STR-045,Denver,4,1630,557509,2026-04-30T20:48:00,debit_card,SKU-10017,3,4.49,13.47,completed
TXN-5252379,STR-042,Chicago,1,1024,174013,2026-04-17T23:08:21,credit_card,SKU-10016,4,6.99,27.96,completed
TXN-9976007,STR-045,Denver,5,1325,347307,2026-04-25T12:15:48,debit_card,SKU-10022,1,2.5,2.5,completed
TXN-7988943,STR-043,Buffalo,1,1861,977983,2026-04-28T00:25:04,debit_card,SKU-10032,5,159,795,completed
TXN-9377704,STR-045,Denver,3,1692,496531,2026-05-08T21:50:48,cash,SKU-10007,5,1.75,8.75,completed
TXN-6490165,STR-046,Birmingham,4,1099,900473,2026-04-26T03:26:47,credit_card,SKU-10041,2,24,48,completed
TXN-5238517,STR-042,Chicago,6,1456,749686,2026-04-21T06:10:26,credit_card,SKU-10008,1,4.25,4.25,completed
TXN-3763722,STR-042,Chicago,3,1999,508183,2026-04-22T10:39:47,credit_card,SKU-10042,4,20,80,completed
TXN-8039055,STR-044,Los Angeles,1,1330,452252,2026-05-10T18:53:57,credit_card,SKU-10017,4,4.49,17.96,completed
TXN-3262499,STR-043,Buffalo,4,1941,711368,2026-05-08T12:54:34,debit_card,SKU-10031,2,349,698,completed
TXN-5541178,STR-043,Buffalo,6,1625,109877,2026-04-23T20:54:09,debit_card,SKU-10001,1,999,999,refunded
TXN-7774343,STR-042,Chicago,3,1212,871151,2026-04-20T03:22:50,credit_card,SKU-10021,5,3.25,16.25,completed
TXN-9563226,STR-043,Buffalo,5,1469,241249,2026-04-23T15:37:00,credit_card,SKU-10033,5,699,3495,completed
TXN-3124365,STR-045,Denver,5,1841,534304,2026-04-12T21:32:14,credit_card,SKU-10022,4,2.5,10,completed
TXN-4854651,STR-046,Birmingham,5,1878,468153,2026-05-07T15:55:47,debit_card,SKU-10050,5,34,170,refunded
TXN-4432642,STR-045,Denver,3,1656,288844,2026-04-18T11:07:18,debit_card,SKU-10026,5,89,445,completed
TXN-5661147,STR-043,Buffalo,6,1465,640178,2026-05-04T03:47:22,credit_card,SKU-10041,2,24,48,completed
TXN-7067826,STR-045,Denver,6,1153,225933,2026-04-25T02:07:27,credit_card,SKU-10042,1,20,20,completed
TXN-4092386,STR-043,Buffalo,1,1007,711368,2026-04-29T11:03:37,credit_card,SKU-10012,5,3.49,17.45,completed
TXN-8157186,STR-042,Chicago,3,1714,225933,2026-04-19T17:09:31,credit_card,SKU-10029,4,69,276,completed
TXN-3300907,STR-042,Chicago,6,1620,871720,2026-04-28T21:03:46,credit_card,SKU-10008,3,4.25,12.75,completed
TXN-7282899,STR-045,Denver,3,1208,688298,2026-04-18T12:18:49,debit_card,SKU-10001,1,999,999,completed
TXN-2356489,STR-042,Chicago,1,1247,992984,2026-04-16T06:31:40,credit_card,SKU-10039,1,299,299,completed
TXN-6576572,STR-044,Los Angeles,4,1836,126628,2026-04-16T10:17:37,credit_card,SKU-10038,4,74,296,completed
TXN-6660449,STR-045,Denver,1,1039,290977,2026-04-19T01:30:36,credit_card,SKU-10041,2,24,48,completed
TXN-4371475,STR-046,Birmingham,5,1942,326160,2026-04-25T20:35:47,credit_card,SKU-10003,4,799,3196,completed
TXN-8294689,STR-043,Buffalo,2,1975,125091,2026-04-14T07:09:26,debit_card,SKU-10035,4,129,516,completed
TXN-3989233,STR-043,Buffalo,6,1323,546552,2026-05-06T13:48:50,debit_card,SKU-10019,2,8.5,17,completed
TXN-3001999,STR-045,Denver,3,1162,804777,2026-04-18T01:00:53,cash,SKU-10015,5,3.75,18.75,completed
TXN-5987686,STR-045,Denver,3,1314,626131,2026-04-15T10:58:36,credit_card,SKU-10015,4,3.75,15,completed
TXN-1462232,STR-042,Chicago,1,1507,688789,2026-04-20T10:02:56,credit_card,SKU-10011,5,2.99,14.95,completed
TXN-8720305,STR-044,Los Angeles,5,1873,350414,2026-04-27T20:38:59,credit_card,SKU-10007,3,1.75,5.25,completed
TXN-7140309,STR-042,Chicago,5,1784,274168,2026-05-02T21:04:49,credit_card,SKU-10021,4,3.25,13,completed
TXN-8157274,STR-043,Buffalo,5,1148,312134,2026-04-21T07:19:59,debit_card,SKU-10042,5,20,100,completed
